group,way,problems,tries,accuracy,thinking,tokens,cut_off_pct,d_vs_on,d_lo,d_hi,think_ratio,r_lo,r_hi
All,off,234,2,40.8,0,860,7,-1.3,-6.6,4.3,0.0,0.0,0.0
All,on,234,2,42.1,3262,3446,41,,,,,,
All,brief,234,2,6.6,5064,5080,92,-35.5,-41.2,-29.3,1.55,1.43,1.7
All,limit,234,2,49.8,843,2722,26,7.7,4.3,11.3,0.26,0.23,0.29
All,lora1,234,2,45.5,2838,3158,36,3.4,-0.4,7.7,0.87,0.81,0.93
All,lora2,234,2,45.1,3252,3392,41,3.0,-1.1,7.3,1.0,0.94,1.06
HumanEval+,off,164,2,47.3,0,256,0,-7.9,-14.6,-1.2,0.0,0.0,0.0
HumanEval+,on,164,2,55.2,1564,1745,22,,,,,,
HumanEval+,brief,164,2,3.7,4030,4038,95,-51.5,-57.9,-44.8,2.58,2.3,2.91
HumanEval+,limit,164,2,60.4,771,1241,8,5.2,1.2,9.1,0.49,0.45,0.54
HumanEval+,lora1,164,2,56.4,1469,1694,21,1.2,-3.7,6.4,0.94,0.84,1.05
HumanEval+,lora2,164,2,56.4,1606,1788,25,1.2,-4.3,6.7,1.03,0.92,1.15
LCB easy,off,31,2,46.8,0,547,3,22.6,8.1,37.1,0.0,0.0,0.0
LCB easy,on,31,2,24.2,6950,7117,73,,,,,,
LCB easy,brief,31,2,30.6,6610,6691,68,6.5,-6.5,19.4,0.95,0.84,1.08
LCB easy,limit,31,2,56.5,1005,4124,35,32.3,17.7,46.8,0.14,0.13,0.16
LCB easy,lora1,31,2,41.9,4658,5318,48,17.7,3.2,32.3,0.67,0.55,0.79
LCB easy,lora2,31,2,38.7,6107,6189,56,14.5,3.2,29.0,0.88,0.76,0.98
LCB medium,off,39,2,9.0,0,3648,38,7.7,1.3,15.4,0.0,0.0,0.0
LCB medium,on,39,2,1.3,7466,7682,92,,,,,,
LCB medium,brief,39,2,0,8179,8182,99,-1.3,-3.8,0,1.1,1.02,1.2
LCB medium,limit,39,2,0,1017,7836,95,-1.3,-3.8,0,0.14,0.13,0.15
LCB medium,lora1,39,2,2.6,7153,7597,90,1.3,-2.6,5.1,0.96,0.87,1.05
LCB medium,lora2,39,2,2.6,7903,7914,96,1.3,-2.6,5.1,1.06,0.98,1.16
