group,way,problems,answers,passed,accuracy_pct,d_vs_on,d_lo,d_hi,mean_thinking,median_thinking,median_thinking_finished,mean_answer_tokens,mean_total_tokens,cut_off,cut_off_loops,think_ratio,r_lo,r_hi
All,on,234,468,197,42.1,,,,3262,1434,751,185,3446,190,132,,,
All,off,234,468,191,40.8,-1.3,-6.6,4.3,0,0,0,860,860,33,27,0.0,0.0,0.0
All,brief,234,468,31,6.6,-35.5,-41.2,-29.3,5064,4096,3547,16,5080,432,174,1.55,1.43,1.7
All,limit,234,468,233,49.8,7.7,4.3,11.3,843,1024,880,1879,2722,121,93,0.26,0.23,0.29
All,lora1,234,468,213,45.5,3.4,-0.4,7.7,2838,1096,740,320,3158,168,141,0.87,0.81,0.93
All,lora2,234,468,211,45.1,3.0,-1.1,7.3,3252,1476,719,140,3392,192,170,1.0,0.94,1.06
HumanEval+,on,164,328,181,55.2,,,,1564,834,672,181,1745,73,48,,,
HumanEval+,off,164,328,155,47.3,-7.9,-14.6,-1.2,0,0,0,256,256,1,1,0.0,0.0,0.0
HumanEval+,brief,164,328,12,3.7,-51.5,-57.9,-44.8,4030,4096,2833,7,4038,313,91,2.58,2.3,2.91
HumanEval+,limit,164,328,198,60.4,5.2,1.2,9.1,771,834,800,470,1241,25,18,0.49,0.45,0.54
HumanEval+,lora1,164,328,185,56.4,1.2,-3.7,6.4,1469,852,711,226,1694,68,54,0.94,0.84,1.05
HumanEval+,lora2,164,328,185,56.4,1.2,-4.3,6.7,1606,829,695,181,1788,82,74,1.03,0.92,1.15
LCB easy,on,31,62,15,24.2,,,,6950,8192,5130,167,7117,45,27,,,
LCB easy,off,31,62,29,46.8,22.6,8.1,37.1,0,0,0,547,547,2,2,0.0,0.0,0.0
LCB easy,brief,31,62,19,30.6,6.5,-6.5,19.4,6610,8192,3732,80,6691,42,32,0.95,0.84,1.08
LCB easy,limit,31,62,35,56.5,32.3,17.7,46.8,1005,1024,1024,3120,4124,22,17,0.14,0.13,0.16
LCB easy,lora1,31,62,26,41.9,17.7,3.2,32.3,4658,5123,1066,660,5318,30,25,0.67,0.55,0.79
LCB easy,lora2,31,62,24,38.7,14.5,3.2,29.0,6107,8192,4270,82,6189,35,30,0.88,0.76,0.98
LCB medium,on,39,78,1,1.3,,,,7466,8192,1012,216,7682,72,57,,,
LCB medium,off,39,78,7,9.0,7.7,1.3,15.4,0,0,0,3648,3648,30,24,0.0,0.0,0.0
LCB medium,brief,39,78,0,0.0,-1.3,-3.8,0,8179,8192,7217,2,8182,77,51,1.1,1.02,1.2
LCB medium,limit,39,78,0,0.0,-1.3,-3.8,0,1017,1024,1024,6819,7836,74,58,0.14,0.13,0.15
LCB medium,lora1,39,78,2,2.6,1.3,-2.6,5.1,7153,8192,1120,444,7597,70,62,0.96,0.87,1.05
LCB medium,lora2,39,78,2,2.6,1.3,-2.6,5.1,7903,8192,708,11,7914,75,66,1.06,0.98,1.16
